network,option,departure_time,total_duration,segment,mode,route,segment_duration,wait,distance
baseline,1,08:09:44,104.9,1,WALK,"",0.7,0,69
baseline,1,08:09:44,104.9,2,RAIL,UP-NW,54,8.6,36809
baseline,1,08:09:44,104.9,3,WALK,"",2.6,0,155
baseline,1,08:09:44,104.9,4,BUS,J14,12.8,4.1,2314
baseline,1,08:09:44,104.9,5,BUS,10,13.2,5,10086
baseline,1,08:09:44,104.9,6,WALK,"",4,0,232
baseline,2,08:04:02,77.1,1,WALK,"",0.7,0,69
baseline,2,08:04:02,77.1,2,RAIL,UP-NW,40,1.3,36809
baseline,2,08:04:02,77.1,3,WALK,"",2.6,0,155
baseline,2,08:04:02,77.1,4,BUS,124,8.5,2.4,1376
baseline,2,08:04:02,77.1,5,WALK,"",1.2,0,67
baseline,2,08:04:02,77.1,6,RAIL,ME,18,2.4,10704
baseline,2,08:04:02,77.1,7,WALK,"",0.1,0,7
baseline,3,08:09:44,105.3,1,WALK,"",0.7,0,69
baseline,3,08:09:44,105.3,2,RAIL,UP-NW,54,8.6,36809
baseline,3,08:09:44,105.3,3,WALK,"",11.5,0,687
baseline,3,08:09:44,105.3,4,SUBWAY,Brn,3.5,2.9,1005
baseline,3,08:09:44,105.3,5,WALK,"",1,0,63
baseline,3,08:09:44,105.3,6,BUS,10,16.8,2.4,10834
baseline,3,08:09:44,105.3,7,WALK,"",4,0,232
baseline,4,08:09:44,104.8,1,WALK,"",0.7,0,69
baseline,4,08:09:44,104.8,2,RAIL,UP-NW,54,8.6,36809
baseline,4,08:09:44,104.8,3,WALK,"",2.6,0,155
baseline,4,08:09:44,104.8,4,BUS,60,6.4,1.6,1033
baseline,4,08:09:44,104.8,5,WALK,"",1,0,57
baseline,4,08:09:44,104.8,6,BUS,10,21.6,4.5,11543
baseline,4,08:09:44,104.8,7,WALK,"",4,0,232
