station,alightings_2018,lat,lon
Main Street (Downers Grove),2562,41.7952778,-88.0097222
Ravenswood,2545,41.9683333,-87.6744444
Arlington Heights,2537,42.0841667,-87.9836111
Palatine,2367,42.1130556,-88.0483333
Elmhurst,2347,41.8997222,-87.9408333
Davis Street (Evanston),1980,42.0480556,-87.6847222
Mount Prospect,1782,42.0630556,-87.9361111
Clybourn,1766,41.9169444,-87.6680556
Arlington Park,1661,42.0952778,-88.0091667
Wilmette,1560,42.0772222,-87.7091667
LaGrange Road,1532,41.8158333,-87.8711111
