from_id,to_id,option,departure_time,total_duration,segment,mode,route,segment_duration,wait
northwestern,uchicago,1,08:00:55,90.5,1,WALK,"",4.4,0
northwestern,uchicago,1,08:00:55,90.5,2,BUS,201,3.4,1.2
northwestern,uchicago,1,08:00:55,90.5,3,WALK,"",1.5,0
northwestern,uchicago,1,08:00:55,90.5,4,SUBWAY,P,41.5,2.7
northwestern,uchicago,1,08:00:55,90.5,5,WALK,"",1,0
northwestern,uchicago,1,08:00:55,90.5,6,BUS,2,24.9,1.6
northwestern,uchicago,1,08:00:55,90.5,7,WALK,"",8.4,0
northwestern,uchicago,2,08:07:58,97.1,1,WALK,"",13,0
northwestern,uchicago,2,08:07:58,97.1,2,SUBWAY,P,12.5,1.5
northwestern,uchicago,2,08:07:58,97.1,3,WALK,"",0.2,0
northwestern,uchicago,2,08:07:58,97.1,4,SUBWAY,Red,38.5,3.8
northwestern,uchicago,2,08:07:58,97.1,5,WALK,"",2.7,0
northwestern,uchicago,2,08:07:58,97.1,6,BUS,55,10.2,2.9
northwestern,uchicago,2,08:07:58,97.1,7,WALK,"",11.8,0
northwestern,uchicago,3,08:09:44,104.7,1,WALK,"",17.7,0
northwestern,uchicago,3,08:09:44,104.7,2,SUBWAY,P,44,4.1
northwestern,uchicago,3,08:09:44,104.7,3,WALK,"",3.1,0
northwestern,uchicago,3,08:09:44,104.7,4,BUS,28,17.4,1.4
northwestern,uchicago,3,08:09:44,104.7,5,WALK,"",1.8,0
northwestern,uchicago,3,08:09:44,104.7,6,BUS,172,11,1.3
northwestern,uchicago,3,08:09:44,104.7,7,WALK,"",2.9,0
uchicago,northwestern,1,08:09:44,100.7,1,WALK,"",5.6,0
uchicago,northwestern,1,08:09:44,100.7,2,BUS,171,5.4,1.6
uchicago,northwestern,1,08:09:44,100.7,3,BUS,28,24.5,5
uchicago,northwestern,1,08:09:44,100.7,4,WALK,"",0.8,0
uchicago,northwestern,1,08:09:44,100.7,5,SUBWAY,P,44,1.1
uchicago,northwestern,1,08:09:44,100.7,6,WALK,"",12.9,0
uchicago,northwestern,2,08:05:58,88.4,1,WALK,"",12.3,0
uchicago,northwestern,2,08:05:58,88.4,2,BUS,55,8.5,1.1
uchicago,northwestern,2,08:05:58,88.4,3,WALK,"",1.2,0
uchicago,northwestern,2,08:05:58,88.4,4,SUBWAY,Red,32,1
uchicago,northwestern,2,08:05:58,88.4,5,WALK,"",0.1,0
uchicago,northwestern,2,08:05:58,88.4,6,SUBWAY,P,18,1.4
uchicago,northwestern,2,08:05:58,88.4,7,WALK,"",12.9,0
